Node1,Node2,Sign,edgeID
SNCA,PRKCE,-1,SNCA_PRKCE
SNCA,PSMC3,-1,SNCA_PSMC3
SP1,BBC3,1,SP1_BBC3
SP1,BNIP3L,1,SP1_BNIP3L
SP1,CDKN1A,1,SP1_CDKN1A
SP1,GDF15,1,SP1_GDF15
SP1,MDC1,1,SP1_MDC1
SP1,MYC,1,SP1_MYC
SP1,SLC25A1,1,SP1_SLC25A1
SRC,ENO1,1,SRC_ENO1
SRC,ITGB4,1,SRC_ITGB4
SRC,ITGB5,1,SRC_ITGB5
SRC,ITGB8,1,SRC_ITGB8
SRC,PIK3R3,1,SRC_PIK3R3
SRC,PLCG1,1,SRC_PLCG1
SRC,PLCG2,1,SRC_PLCG2
SRC,SNCA,1,SRC_SNCA
SRC,VAV1,1,SRC_VAV1
SRC,WWOX,1,SRC_WWOX
STAT5A,AURKA,1,STAT5A_AURKA
STAT5A,BCL2L1,1,STAT5A_BCL2L1
STEAP3,BNIP3L,1,STEAP3_BNIP3L
STRAP,SMAD2,-1,STRAP_SMAD2
STRAP,SMAD3,-1,STRAP_SMAD3
SUN1,NUP153,1,SUN1_NUP153
SUV39H1,MECOM,1,SUV39H1_MECOM
TOPBP1,ATR,1,TOPBP1_ATR
TOPBP1,ATRIP,1,TOPBP1_ATRIP
TP53,BBC3,1,TP53_BBC3
TP53,BCL2L1,-1,TP53_BCL2L1
TP53,BCL6,1,TP53_BCL6
TP53,BID,1,TP53_BID
TP53,BNIP3L,1,TP53_BNIP3L
TP53,CDKN1A,1,TP53_CDKN1A
TP53,CDKN2C,1,TP53_CDKN2C
TP53,EEF1A1,1,TP53_EEF1A1
TP53,GADD45A,1,TP53_GADD45A
TP53,GDF15,1,TP53_GDF15
TP53,HMGB1,1,TP53_HMGB1
TP53,P4HA2,1,TP53_P4HA2
TP53,PMAIP1,1,TP53_PMAIP1
TP53,STEAP3,1,TP53_STEAP3
TP53BP1,TP53,1,TP53BP1_TP53
TRIM28,BBC3,-1,TRIM28_BBC3
TRIM28,CDKN1A,-1,TRIM28_CDKN1A
TRIM28,GADD45A,-1,TRIM28_GADD45A
TRIM28,PMAIP1,-1,TRIM28_PMAIP1
TSC2,TSC1,1,TSC2_TSC1
UBXN2B,AURKA,-1,UBXN2B_AURKA
UIMC1,BRCA1,1,UIMC1_BRCA1
VAV1,PLCG1,1,VAV1_PLCG1
VAV1,SRC,1,VAV1_SRC
WWOX,SMAD4,1,WWOX_SMAD4
XPA,DDB2,1,XPA_DDB2
XPA,RPA2,1,XPA_RPA2
XPA,XPC,1,XPA_XPC
XPC,SMARCA4,1,XPC_SMARCA4
YY1,MYC,1,YY1_MYC
YY1,TP53,1,YY1_TP53
SMAD3,JUN,1,SMAD3_JUN
ETV4,TIMP1,1,ETV4_TIMP1
JDP2,LGALS1,-1,JDP2_LGALS1
SP1,TGFB1,1,SP1_TGFB1
RUNX2,RUNX2,1,RUNX2_RUNX2
JUN,ATF2,1,JUN_ATF2
ATF2,JUN,1,ATF2_JUN
SP1,SP1,1,SP1_SP1
JUN,THBS1,1,JUN_THBS1
JUND,JUND,1,JUND_JUND
SP1,SP3,1,SP1_SP3
SP3,SP1,1,SP3_SP1
JUN,JUN,1,JUN_JUN
SP1,FN1,1,SP1_FN1
JUN,FN1,1,JUN_FN1
SP1,HMGA2,1,SP1_HMGA2
SP3,HMGA2,1,SP3_HMGA2
JUND,NR4A1,1,JUND_NR4A1
HR,VEGFA,1,HR_VEGFA
STAT3,STAT3,1,STAT3_STAT3
STAT1,VIM,1,STAT1_VIM
SMAD3,TGFB1,1,SMAD3_TGFB1
STAT3,VEGFA,1,STAT3_VEGFA
SP1,PKM,1,SP1_PKM
SP3,PKM,1,SP3_PKM
SP1,LGALS1,1,SP1_LGALS1
SP1,VIM,1,SP1_VIM
SP1,VEGFA,1,SP1_VEGFA
SP3,VEGFA,1,SP3_VEGFA
STAT1,ICAM1,1,STAT1_ICAM1
STAT3,ICAM1,1,STAT3_ICAM1
STAT3,TGFB1,1,STAT3_TGFB1
JUN,VEGFA,1,JUN_VEGFA
JUND,TIMP1,1,JUND_TIMP1
SP1,TIMP1,1,SP1_TIMP1
STAT1,STAT1,1,STAT1_STAT1
NFATC1,NFATC1,1,NFATC1_NFATC1
SP1,HRAS,1,SP1_HRAS
JUN,APP,1,JUN_APP
SMARCA1,SMARCA1,1,SMARCA1_SMARCA1
SP1,ICAM1,1,SP1_ICAM1
SMAD3,LAMC1,1,SMAD3_LAMC1
HR,TIMP1,1,HR_TIMP1
ATF4,ATF4,1,ATF4_ATF4
SP1,LAMC1,1,SP1_LAMC1
JDP2,JUN,-1,JDP2_JUN
SMAD3,FN1,1,SMAD3_FN1
KLF10,SMAD3,1,KLF10_SMAD3
SP3,SP3,1,SP3_SP3
JUN,TIMP1,1,JUN_TIMP1
ATF2,ATF2,1,ATF2_ATF2
JUN,LGALS3,1,JUN_LGALS3
TFAP4,TGFB1,1,TFAP4_TGFB1
JDP2,ATF2,-1,JDP2_ATF2
TFAP4,APP,1,TFAP4_APP
STAT1,LGALS3,1,STAT1_LGALS3
SP1,APP,1,SP1_APP
STAT3,VIM,1,STAT3_VIM
ATF4,VEGFA,1,ATF4_VEGFA
RUNX2,TIMP1,1,RUNX2_TIMP1
RUNX2,VEGFA,1,RUNX2_VEGFA
STAT1,JUN,1,STAT1_JUN
SMAD3,APP,1,SMAD3_APP
SP1,TIMP2,1,SP1_TIMP2
HR,ICAM1,1,HR_ICAM1
JUN,TGFB1,1,JUN_TGFB1
SNAI2,SNAI2,1,SNAI2_SNAI2
TFAP4,TFAP4,1,TFAP4_TFAP4
JUN,VIM,1,JUN_VIM
HR,TGFB1,1,HR_TGFB1
STAT3,TIMP1,1,STAT3_TIMP1
MTA1,VEGFA,1,MTA1_VEGFA
